,GRID,Pub_count,renewed,ADMINISTERING_IC,TOTAL_COST,GR_Total_year
2001,K08DK089015,4,1,DK,126749,2
2005,K08DK089295,6,1,DK,145195,2
2011,K08DK090141,4,1,DK,155089,2
2015,K08ES019176,1,1,ES,156750,2
2016,K08EY019714,1,1,EY,208491,2
2017,K08EY019880,13,1,EY,81000,2
2033,K08EY020863,3,1,EY,240408,2
2036,K08GM087429,1,1,GM,115298,2
2037,K08GM088589,1,1,GM,132327,2
2038,K08GM089941,19,1,GM,97283,2
2057,K08GM093133,2,1,GM,122738,2
2059,K08GM093135,2,1,GM,124470,2
2061,K08GM093137,1,1,GM,125685,2
2062,K08GM094394,1,1,GM,131448,2
2063,K08HD058073,5,1,HD,116283,2
2068,K08HD058219,1,1,HD,137160,2
2069,K08HD060850,1,1,HD,125820,2
2071,K08HD061484,1,1,HD,130357,2
2072,K08HD062142,6,1,HD,126333,2
2078,K08HD062638,4,1,HD,137160,2
2084,K08HL093365,3,1,HL,133110,2
2088,K08HL096833,1,1,HL,136638,2
2089,K08HL096841,3,1,HL,141048,2
2092,K08HL097029,1,1,HL,136958,2
2093,K08HL097032,1,1,HL,131652,2
2094,K08HL098361,1,1,HL,136958,2
2100,K08HL098562,2,1,HL,133920,2
2102,K08HL098565,3,1,HL,124200,2
2105,K08HL098898,2,1,HL,130508,2
2107,K08HL101989,2,1,HL,125010,2
2109,K08HL102066,2,1,HL,128574,2
2111,K08HL102068,1,1,HL,130113,2
2112,K08HL102260,1,1,HL,135135,2
2113,K08HL102261,1,1,HL,132300,2
2114,K08HL102262,2,1,HL,128250,2
2116,K08HL102264,3,1,HL,132300,2
2119,K08HL102265,6,1,HL,128250,2
2125,K08HL102266,2,1,HL,131652,2
2127,K08HL102267,5,1,HL,131500,2
2132,K08HL103631,16,1,HL,126777,2
2148,K08HL103776,9,1,HL,131490,2
2157,K08HL103900,1,1,HL,132300,2
2158,K08MH085948,2,1,MH,171205,2
2160,K08MH086846,4,1,MH,180012,2
2164,K08MH087639,3,1,MH,167751,2
2167,K08MH087718,2,1,MH,186192,2
2169,K08MH089848,1,1,MH,149224,2
2170,K08MH090412,3,1,MH,169452,2
2173,K08MH090900,2,1,MH,190080,2
2175,K08MH091501,1,1,MH,178344,2
2176,K08NS064051,4,1,NS,159865,2
2180,K08NS065268,4,1,NS,158136,2
2190,K08NS067282,4,1,NS,168199,2
2194,K08NS069809,8,1,NS,173340,2
2203,K08NS069811,3,1,NS,171871,2
2206,K08NS069817,5,1,NS,159506,2
2211,K08NS070608,2,1,NS,171963,2
2213,K08NS070926,7,1,NS,168249,2
2220,K08NS072158,4,1,NS,169668,2
2226,K08NS072235,2,1,NS,181418,2
2230,K08NS074194,7,1,NS,182667,2
2237,K12CA139160,16,1,CA,571564,2
2255,K12DA031050,18,1,DA,492166,2
2275,K12ES019852,5,1,ES,500000,2
2281,K12GM093854,1,1,GM,322525,2
2282,K12GM093857,9,1,GM,218178,2
2291,K12HD065257,1,1,HD,475115,2
2292,K12HD065879,8,1,HD,500000,2
2300,K12HD065987,20,1,HD,500001,2
2322,K18DA031463,2,0,DA,80515,2
2324,K18GM097732,1,0,GM,33502,2
2325,K18HL102884,1,1,HL,229543,2
2326,K18MH093940,1,0,MH,121824,2
2327,K22AA018384,6,1,AA,190140,2
2333,K22AI077353,2,1,AI,162000,2
2335,K22AI077712,1,1,AI,162000,2
2336,K22AI080941,2,1,AI,162000,2
2338,K22AI081730,2,1,AI,157878,2
2340,K22AI081748,1,1,AI,159600,2
2341,K22AI081866,1,1,AI,162000,2
2342,K22AI083372,1,1,AI,157720,2
2343,K22AI085112,2,1,AI,162000,2
2345,K22AI089975,2,1,AI,162000,2
2347,K22CA126979,1,1,CA,157686,2
2348,K22CA131567,4,1,CA,166584,2
2352,K22CA137126,1,1,CA,169339,2
2353,K22CA138563,15,1,CA,203040,2
2368,K22CA138776,1,1,CA,187735,2
2369,K22CA151638,7,1,CA,186840,2
2376,K22CA154626,2,1,CA,187380,2
2379,K23AA017684,1,1,AA,153665,2
2380,K23AA017702,4,1,AA,144627,2
2384,K23AA018126,1,1,AA,137741,2
2385,K23AA018399,4,1,AA,206710,2
2389,K23AA018696,1,1,AA,227163,2
2390,K23AG028726,3,1,AG,164565,2
2393,K23AG032355,12,1,AG,149013,2
2405,K23AG033204,2,1,AG,126063,2
2407,K23AG034236,1,1,AG,158652,2
2408,K23AG034258,3,1,AG,156546,2
2411,K23AG034551,12,1,AG,186000,2
2423,K23AG034632,8,1,AG,196000,2
2431,K23AG034967,5,1,AG,126063,2
2436,K23AG038351,2,1,AG,143743,2
2438,K23AG038479,6,1,AG,104088,2
2444,K23AI082450,3,1,AI,134730,2
2447,K23AI083088,8,1,AI,132952,2
2455,K23AI083099,1,1,AI,134165,2
2456,K23AI083880,1,1,AI,130437,2
2457,K23AI084549,1,1,AI,134325,2
2458,K23AI084580,1,1,AI,134730,2
2459,K23AI084854,7,1,AI,134005,2
2466,K23AI085029,8,1,AI,129384,2
2474,K23AI085181,1,1,AI,128931,2
2475,K23AI087206,1,1,AI,128516,2
2476,K23AI089978,4,1,AI,128250,2
2480,K23AR057486,4,1,AR,127980,2
2484,K23AR057789,8,1,AR,129830,2
2492,K23AR059199,1,1,AR,132368,2
2493,K23AR059677,2,1,AR,136517,2
2495,K23AR059722,1,1,AR,125439,2
2496,K23CA140722,2,1,CA,173448,2
2498,K23CA141054,1,1,CA,172368,2
2499,K23CA148964,1,1,CA,175500,2
2500,K23DA025678,2,1,DA,159822,2
2502,K23DA025736,2,1,DA,181829,2
2504,K23DA027045,2,1,DA,147265,2
2506,K23DA027367,6,1,DA,150347,2
2512,K23DA027719,4,1,DA,181474,2
2516,K23DA027720,1,1,DA,163184,2
2517,K23DA027734,1,1,DA,168480,2
2518,K23DA028660,1,1,DA,160463,2
2519,K23DA030395,5,1,DA,179434,2
2524,K23DE019872,2,1,DE,131003,2
2526,K23DE020854,1,1,DE,121041,2
2527,K23DK081607,5,1,DK,153229,2
2532,K23DK083514,5,1,DK,178932,2
2537,K23DK084315,2,1,DK,161432,2
2549,K23DK085378,2,1,DK,164830,2
2551,K23DK087857,6,1,DK,159192,2
2557,K23DK087858,17,1,DK,169811,2
2575,K23DK087900,3,1,DK,172507,2
2578,K23DK087919,5,1,DK,156381,2
2583,K23DK087937,4,1,DK,178488,2
2590,K23DK088832,2,1,DK,161058,2
2592,K23DK088833,1,1,DK,179388,2
2593,K23DK088865,7,1,DK,171612,2
2602,K23DK089004,10,1,DK,132647,2
2612,K23DK089008,2,1,DK,183276,2
2614,K23DK089017,4,1,DK,148678,2
2621,K23DK089118,11,1,DK,154235,2
2632,K23DK089910,9,1,DK,158949,2
2642,K23ES019575,2,1,ES,161808,2
2644,K23EY019341,4,1,EY,135918,2
2648,K23EY020876,2,1,EY,203843,2
2652,K23GM087709,8,1,GM,124198,2
2661,K23GM093032,20,1,GM,119274,2
2681,K23GM093112,20,1,GM,128850,2
2701,K23GM094465,19,1,GM,129409,2
2720,K23HD059850,1,1,HD,137104,2
2721,K23HD060601,3,1,HD,101034,2
2724,K23HD060689,6,1,HD,128231,2
2730,K23HD061597,1,1,HD,176665,2
2731,K23HD061910,2,1,HD,137161,2
2733,K23HD062629,14,1,HD,121855,2
2747,K23HD062637,1,1,HD,112450,2
2748,K23HD062642,5,1,HD,98325,2
2755,K23HD064705,7,1,HD,95972,2
2762,K23HD065871,3,1,HD,81751,2
2768,K23HD065872,4,1,HD,119718,2
2772,K23HL089333,20,1,HL,132933,2
2792,K23HL089391,4,1,HL,139590,2
2796,K23HL094532,3,1,HL,142871,2
2799,K23HL094760,2,1,HL,145395,2
2803,K23HL095661,2,1,HL,142776,2
2805,K23HL096054,20,1,HL,137700,2
2825,K23HL096838,2,1,HL,159300,2
2827,K23HL098359,1,1,HL,128568,2
2828,K23HL098370,20,1,HL,163200,2
2848,K23HL098452,2,1,HL,141750,2
2850,K23HL098454,14,1,HL,131382,2
2866,K23HL098476,4,1,HL,139340,2
2870,K23HL098564,2,1,HL,137113,2
2872,K23HL098743,1,1,HL,130410,2
2873,K23HL098744,2,1,HL,133650,2
2875,K23HL098745,1,1,HL,132921,2
2876,K23HL101991,1,1,HL,133650,2
2877,K23HL102069,4,1,HL,149012,2
2881,K23HL102224,20,1,HL,120119,2
2901,K23HL102249,2,1,HL,136080,2
2903,K23HL102254,1,1,HL,137052,2
2904,K23HL103192,8,1,HL,162704,2
2912,K23HL103841,7,1,HL,164025,2
2919,K23HL103850,1,1,HL,163958,2
2920,K23HL105897,1,1,HL,139721,2
2921,K23MH079498,6,1,MH,165671,2
2927,K23MH080149,2,1,MH,178479,2
2941,K23MH083695,3,1,MH,174831,2
2944,K23MH085659,2,1,MH,178222,2
2949,K23MH085732,2,1,MH,132767,2
2951,K23MH085882,1,1,MH,172503,2
2952,K23MH086111,10,1,MH,128971,2
2968,K23MH086686,1,1,MH,171515,2
2969,K23MH086785,10,1,MH,180659,2
2985,K23MH087218,3,1,MH,144578,2
2988,K23MH087708,4,1,MH,155541,2
2994,K23MH087739,2,1,MH,128618,2
3002,K23MH087747,5,1,MH,172584,2
3028,K23MH087954,1,1,MH,149986,2
3029,K23MH090421,5,1,MH,161146,2
3034,K23MH090923,10,1,MH,127152,2
3044,K23MH091032,1,1,MH,183580,2
3045,K23MH091176,12,1,MH,180360,2
3057,K23MH091240,13,1,MH,180696,2
3070,K23MH091254,3,1,MH,176569,2
3074,K23MH092220,1,1,MH,171012,2
3075,K23MH092530,5,1,MH,152473,2
3080,K23MH093591,1,1,MH,134919,2
3081,K23NR012225,1,1,NR,113163,2
3082,K23NR012467,1,1,NR,104130,2
3083,K23NS066137,19,1,NS,165078,2
3102,K23NS067053,3,1,NS,157132,2
3105,K23NS067055,6,1,NS,165078,2
3111,K23NS069784,12,1,NS,173340,2
3124,K23NS070891,13,1,NS,163521,2
3137,K24AG035007,7,1,AG,137526,2
3152,K24AG035075,20,1,AG,190955,2
3183,K24AG036778,4,1,AG,158085,2
3187,K24AI078004,2,1,AI,147030,2
3192,K24AI087399,3,1,AI,130674,2
3195,K24AI089794,4,1,AI,147523,2
3199,K24AR057827,10,1,AR,159723,2
3209,K24CA139570,7,1,CA,186209,2
3216,K24CA149202,3,1,CA,198988,2
3219,K24DA029062,1,1,DA,129584,2
3220,K24DA029262,4,1,DA,202100,2
3224,K24DA029647,1,1,DA,178902,2
3225,K24DA030301,2,1,DA,191233,2
3227,K24DA030443,2,1,DA,200183,2
3229,K24DK083268,3,1,DK,176094,2
3232,K24DK084208,3,1,DK,133497,2
3235,K24DK085153,9,1,DK,129808,2
3244,K24DK085446,3,1,DK,122032,2
3247,K24HD058795,20,1,HD,191742,2
3267,K24HD060786,4,1,HD,194189,2
3271,K24HD062647,13,1,HD,138114,2
3304,K24HL102246,2,1,HL,172610,2
3307,K24HL103800,1,1,HL,186773,2
3308,K24HL105493,3,1,HL,186343,2
3311,K24HL105664,1,1,HL,166802,2
3312,K24MH086814,4,1,MH,173543,2
3316,K24MH087913,3,1,MH,160247,2
3321,K24MH090894,2,1,MH,148917,2
3323,K24MH091555,3,1,MH,149543,2
3326,K25AG035062,2,1,AG,136944,2
3328,K25AG036760,6,1,AG,153591,2
3334,K25AG037596,7,1,AG,149715,2
3342,K25CA137222,12,1,CA,119535,2
3354,K25CA141053,2,1,CA,82846,2
3356,K25CA143412,4,1,CA,112660,2
3360,K25CA149194,7,1,CA,105813,2
3369,K25DC010834,1,1,DC,180693,2
3370,K25DK087931,16,1,DK,126064,2
3395,K25ES019224,2,1,ES,148450,2
3397,K25GM090154,3,1,GM,124722,2
3400,K25HL097246,2,1,HL,145800,2
3408,K25HL102244,1,1,HL,140009,2
3409,K25HL104085,7,1,HL,152757,2
3418,K99AA018387,2,1,AA,87130,2
3420,K99AA019699,4,1,AA,83033,2
3424,K99AG034214,4,1,AG,127116,2
3428,K99AG036817,1,1,AG,73009,2
3429,K99AG036845,2,1,AG,89855,2
3431,K99AG037646,1,1,AG,97200,2
3432,K99AR059190,1,1,AR,90000,2
3433,K99CA138914,4,1,CA,159986,2
3437,K99CA142899,8,1,CA,139256,2
3446,K99CA143229,3,1,CA,112899,2
3449,K99CA149088,1,1,CA,115376,2
3450,K99CA151460,3,0,CA,80811,2
3453,K99CA151968,1,1,CA,111105,2
3455,K99CA153916,1,1,CA,92261,2
3456,K99CA153935,1,1,CA,87580,2
3457,K99CA154006,6,1,CA,126822,2
3463,K99DA027825,1,1,DA,122509,2
3464,K99DA030908,4,0,DA,78025,2
3468,K99DC010439,2,1,DC,89100,2
3470,K99DC011080,2,1,DC,97200,2
3472,K99DE019853,2,0,DE,93337,2
3474,K99DE021054,7,1,DE,132300,2
3488,K99DE021442,1,1,DE,120960,2
3489,K99DK082644,9,1,DK,89805,2
3498,K99DK085142,1,1,DK,90000,2
3499,K99DK088360,6,1,DK,88577,2
3505,K99DK088963,1,1,DK,133515,2
3506,K99DK090210,2,1,DK,90000,2
3508,K99EB011530,3,1,EB,87750,2
3511,K99EB012107,6,1,EB,94905,2
3518,K99ES018890,2,1,ES,91540,2
3520,K99EY020844,2,0,EY,87395,2
3522,K99GM092859,1,1,GM,90000,2
3523,K99GM092934,2,0,GM,81971,2
3525,K99GM092970,6,1,GM,89222,2
3531,K99GM092984,3,1,GM,90000,2
3534,K99GM094293,1,1,GM,78495,2
3536,K99GM094335,1,1,GM,90000,2
3537,K99HD059985,1,1,HD,90000,2
3538,K99HD060762,3,1,HD,96570,2
3541,K99HD061485,1,1,HD,136298,2
3542,K99HD065741,1,1,HD,72084,2
3543,K99HG005846,10,1,HG,88508,2
3553,K99HL093215,2,0,HL,90000,2
3555,K99HL098366,1,1,HL,97200,2
3556,K99HL098459,20,1,HL,93307,2
3576,K99HL098688,2,1,HL,132786,2
3578,K99HL098692,4,1,HL,80765,2
3582,K99HL102228,7,1,HL,90000,2
3589,K99HL102241,5,1,HL,137565,2
3594,K99HL103777,2,1,HL,119664,2
3596,K99HL103797,2,1,HL,122850,2
3598,K99HL103973,1,1,HL,136350,2
3599,K99LM010821,6,1,LM,101874,2
3606,K99LM010824,1,1,LM,90000,2
3607,K99MH086049,1,1,MH,150578,2
3608,K99MH086616,1,1,MH,90000,2
3609,K99MH087628,2,1,MH,81998,2
3611,K99MH087813,1,1,MH,83673,2
3612,K99MH090115,1,1,MH,79920,2
3613,K99MH090238,4,0,MH,90000,2
3617,K99NR012219,1,1,NR,90000,2
3618,K99NR012232,2,1,NR,89478,2
3620,K99NS067062,3,1,NS,132715,2
3623,K99NS072192,1,1,NS,90000,2
3624,KL2RR031972,1,1,RR,177960,2
3625,KL2RR031974,13,1,RR,250873,2
3639,KL2RR031976,1,1,RR,307137,2
3640,KL2RR031978,4,1,RR,153159,2
3644,KL2RR031981,20,1,RR,602341,2
3669,KL2RR031987,4,1,RR,142371,2
3675,KL2RR031989,11,1,RR,497500,2
3686,KL2RR031991,14,1,RR,805680,2
3774,P01AA019072,20,1,AA,1484315,2
3800,P01AG031720,20,1,AG,2110701,2
3831,P01AG032953,6,1,AG,1187434,2
3837,P01AG032959,2,1,AG,1393877,2
3839,P01AG036694,20,1,AG,2175367,2
3871,P01AI078894,3,1,AI,1510251,2
3874,P01AI078907,2,1,AI,2198492,2
3876,P01AI084853,15,1,AI,1607077,2
3893,P01AI087586,10,1,AI,1626760,2
3903,P01AI088564,1,1,AI,2256286,2
3904,P01AI088575,1,1,AI,2440751,2
3905,P01AI088610,2,1,AI,2785302,2
3907,P01AI089624,7,1,AI,2059486,2
3914,P01AI090935,12,1,AI,4254392,2
3928,P01CA132681,19,1,CA,3043786,2
3947,P01CA138317,1,1,CA,1376311,2
3948,P01CA138338,1,1,CA,1951504,2
3949,P01CA138390,13,1,CA,1529049,2
3962,P01CA139980,7,1,CA,1909426,2
3975,P01CA142538,20,1,CA,2542900,2
3996,P01DA028555,5,1,DA,1263938,2
4001,P01DK088761,20,1,DK,1585000,2
4021,P01GM088297,1,1,GM,1542107,2
4022,P01GM088409,4,1,GM,1474454,2
4026,P01HD060563,3,1,HD,864598,2
4029,P01HD061315,1,1,HD,879497,2
4030,P01HD064653,20,1,HD,1269121,2
4050,P01HL094374,14,1,HL,2539392,2
4064,P01HL095486,7,1,HL,1757891,2
4071,P01HL095488,8,1,HL,2301128,2
4079,P01HL095489,11,1,HL,2083315,2
4090,P01HL095491,8,1,HL,2444364,2
4101,P01HL095499,3,1,HL,2271077,2
4104,P01HL096570,1,1,HL,2025404,2
4105,P01HL098053,9,1,HL,2045695,2
4114,P01HL098055,20,1,HL,2352233,2
4148,P01HL098067,3,1,HL,2412695,2
4152,P01HL101398,2,1,HL,2181376,2
4154,P01NS066888,5,1,NS,1401521,2
4159,P01NS069539,20,1,NS,1289614,2
4180,P20DA027843,1,1,DA,920933,2
4181,P20DA027844,8,1,DA,959384,2
4192,P20DK090871,3,1,DK,277890,2
4195,P20DK090919,1,1,DK,149985,2
4196,P20DK090921,2,1,DK,322520,2
4209,P20ES018171,18,1,ES,200000,2
4229,P20ES018173,3,1,ES,332913,2
4237,P20HG005535,2,1,HG,241413,2
4239,P20HL100396,20,1,HL,823175,2
4260,P20HL101397,5,1,HL,604473,2
4266,P20HL101443,2,1,HL,764867,2
4268,P20HL101866,1,1,HL,697947,2
4269,P20MD004805,4,1,MD,1410526,2
4273,P20MD004806,1,1,MD,1236169,2
4275,P20MD004811,1,1,MD,1412760,2
4277,P20MD004817,5,1,MD,1298211,2
4285,P20MD006084,12,1,MD,874498,2
4297,P20MD006144,1,1,MD,898938,2
4298,P20MH086048,8,1,MH,889617,2
4306,P30AG028741,5,1,AG,1200000,2
4313,P30AG038072,18,1,AG,666473,2
4333,P30AI087714,20,1,AI,735242,2
4358,P30CA142543,17,1,CA,1500000,2
4377,P30DC010362,6,1,DC,421467,2
4383,P30DK089503,12,1,DK,1158750,2
4398,P30DK089507,20,1,DK,982095,2
4427,P30DK090728,5,1,DK,1182745,2
4433,P30DK090744,2,1,DK,1166777,2
4435,P30DK090868,10,1,DK,1200690,2
4445,P30DK090948,4,1,DK,739912,2
4449,P30DK090969,18,1,DK,1084661,2
4468,P30DK090971,12,1,DK,714422,2
4480,P30EY019007,20,1,EY,764879,2
4500,P30EY020799,12,1,EY,698491,2
4516,P30HD062171,19,1,HD,915867,2
4536,P30MH090590,20,1,MH,1544794,2
4556,P30RR030926,5,1,RR,1102500,2
4561,P30RR031151,7,1,RR,1121077,2
4568,P30RR031152,5,1,RR,1189027,2
4574,P30RR031154,1,1,RR,1091700,2
4575,P30RR031155,6,1,RR,1098750,2
4581,P30RR031160,6,1,RR,1146392,2
4590,P41GM086190,8,1,GM,390736,2
4598,P41GM089153,6,1,GM,365002,2
4604,P41HD064556,3,1,HD,905690,2
4607,P41HD064559,5,1,HD,735667,2
4612,P41RR031228,1,1,RR,1604021,2
4613,P42ES016454,11,1,ES,2801600,2
4626,P42ES017198,20,1,ES,2441136,2
4653,P50AT006268,20,1,AT,1534904,2
4673,P50AT006273,20,1,AT,1523824,2
4694,P50CA130810,20,1,CA,2193817,2
4721,P50CA138293,7,1,CA,2300000,2
4729,P50CA140146,8,1,CA,2300000,2
4737,P50CA142509,20,1,CA,2300000,2
4757,P50CA148110,1,1,CA,1911941,2
4758,P50CA148143,10,1,CA,1918546,2
4768,P50CA148596,4,1,CA,1714436,2
4772,P50DA027840,1,1,DA,1044713,2
4773,P50GM081879,19,1,GM,3250378,2
4792,P50GM085764,16,1,GM,3096235,2
4811,P50HG005550,11,1,HG,4273088,2
4824,P50HL105184,1,1,HL,1988794,2
4825,P50HL105185,14,1,HL,1992210,2
4840,P50HL105187,4,1,HL,1841361,2
4844,P50HL105188,14,1,HL,1996450,2
4858,P50HL105189,3,1,HL,2079395,2
4861,P50MH086404,3,1,MH,1998503,2
4864,P50MH090963,1,1,MH,1992944,2
4865,P50MH090966,5,1,MH,1999997,2
4870,P50NS071669,11,1,NS,1327171,2
4883,P50NS071674,5,1,NS,918000,2
4888,P50NS071675,6,1,NS,2010062,2
4915,R01AA016979,2,1,AA,391432,2
4919,R01AA017627,3,1,AA,275951,2
4922,R01AA017895,2,1,AA,685976,2
4924,R01AA018096,1,1,AA,701999,2
4925,R01AA018124,2,1,AA,352688,2
4927,R01AA018138,1,1,AA,525405,2
4928,R01AA018149,1,1,AA,425070,2
4931,R01AA018169,1,1,AA,714361,2
4932,R01AA018292,3,1,AA,432338,2
4935,R01AA018332,2,1,AA,380250,2
4937,R01AA018333,8,1,AA,578658,2
4952,R01AA018376,1,1,AA,432938,2
4953,R01AA018378,2,1,AA,351890,2
4955,R01AA018604,1,1,AA,352475,2
4956,R01AA018612,9,1,AA,371504,2
4965,R01AA018631,2,1,AA,524329,2
4967,R01AA018658,5,1,AA,606918,2
4972,R01AA018673,2,1,AA,629070,2
4974,R01AA018701,1,1,AA,291967,2
4975,R01AA018702,1,1,AA,36821,2
4976,R01AA018707,1,1,AA,400628,2
4977,R01AA018776,3,1,AA,565930,2
4980,R01AA019454,3,1,AA,323283,2
4986,R01AA019455,1,1,AA,368125,2
4988,R01AA019478,1,1,AA,403216,2
4989,R01AA019511,3,1,AA,550879,2
4992,R01AA019526,7,1,AA,376438,2
4999,R01AA019546,2,1,AA,275099,2
5001,R01AA019605,1,1,AA,394063,2
5002,R01AA019663,3,1,AA,268824,2
5005,R01AA019801,1,1,AA,382375,2
5007,R01AA019802,5,1,AA,518128,2
5012,R01AA020172,4,1,AA,370800,2
5016,R01AA020203,20,1,AA,341150,2
5037,R01AA020211,3,1,AA,431663,2
5040,R01AA020212,18,1,AA,496868,2
5058,R01AA020216,2,1,AA,563193,2
5060,R01AG030207,5,1,AG,386775,2
5065,R01AG030688,1,1,AG,295205,2
5066,R01AG031575,1,1,AG,246000,2
5067,R01AG031729,1,1,AG,191582,2
5068,R01AG031774,2,1,AG,340300,2
5070,R01AG032037,1,1,AG,164568,2
5071,R01AG032088,2,1,AG,315900,2
5073,R01AG032290,11,1,AG,298275,2
5084,R01AG032339,1,1,AG,174000,2
5085,R01AG032443,1,1,AG,329171,2
5087,R01AG033069,2,1,AG,279199,2
5089,R01AG033202,4,1,AG,350264,2
5093,R01AG033288,5,1,AG,686664,2
5098,R01AG033406,2,1,AG,343379,2
5100,R01AG033546,1,1,AG,1017024,2
5101,R01AG033581,4,1,AG,548846,2
5105,R01AG033592,5,1,AG,427668,2
5110,R01AG033607,1,1,AG,383352,2
5111,R01AG033615,4,1,AG,375786,2
5115,R01AG033673,12,1,AG,553397,2
5127,R01AG033679,2,1,AG,316725,2
5129,R01AG033682,2,1,AG,397862,2
5131,R01AG033719,14,1,AG,227980,2
5145,R01AG033867,2,1,AG,383750,2
5147,R01AG034113,4,1,AG,312857,2
5151,R01AG034119,20,1,AG,340525,2
5171,R01AG034137,5,1,AG,308435,2
5176,R01AG034140,2,1,AG,397566,2
5185,R01AG034156,3,1,AG,380071,2
5188,R01AG034157,3,1,AG,517629,2
5191,R01AG034160,4,1,AG,336836,2
5195,R01AG034167,3,1,AG,245180,2
5198,R01AG034181,3,1,AG,598071,2
5203,R01AG034189,1,1,AG,408201,2
5204,R01AG034205,10,1,AG,570995,2
5214,R01AG034389,6,1,AG,305450,2
5220,R01AG034479,3,1,AG,1160026,2
5223,R01AG034658,1,1,AG,551256,2
5224,R01AG034853,5,1,AG,640984,2
5229,R01AG034901,2,1,AG,336883,2
5231,R01AG034924,2,1,AG,339275,2
5234,R01AG034939,2,1,AG,301423,2
5238,R01AG034949,3,1,AG,365388,2
5241,R01AG034982,1,1,AG,703174,2
5243,R01AG034995,20,1,AG,1084735,2
5263,R01AG035008,1,1,AG,806358,2
5264,R01AG035020,2,1,AG,165335,2
5267,R01AG035025,1,1,AG,620120,2
5268,R01AG035055,2,1,AG,390525,2
5270,R01AG035268,1,1,AG,310479,2
5271,R01AG035379,2,1,AG,545296,2
5273,R01AG036424,1,1,AG,477845,2
5274,R01AG036690,1,1,AG,317067,2
5275,R01AG036712,1,1,AG,315946,2
5276,R01AG036776,3,1,AG,422569,2
5279,R01AG036794,5,1,AG,189975,2
5284,R01AG036838,4,1,AG,523006,2
5290,R01AG036863,10,1,AG,441241,2
5303,R01AG036871,1,1,AG,314675,2
5304,R01AG037000,3,1,AG,291500,2
5307,R01AG037031,2,1,AG,1270088,2
5309,R01AG037042,9,1,AG,479413,2
5318,R01AG037212,20,1,AG,1978440,2
5343,R01AG037376,1,1,AG,518730,2
5344,R01AG037398,20,1,AG,483776,2
5364,R01AG037497,9,1,AG,694513,2
5384,R01AG037514,2,1,AG,284130,2
5386,R01AG037599,5,1,AG,290595,2
5394,R01AG037603,1,1,AG,319800,2
5395,R01AG037918,3,1,AG,298116,2
5398,R01AG037960,1,1,AG,297132,2
5399,R01AG037962,1,1,AG,266200,2
5400,R01AG037968,1,1,AG,320000,2
5401,R01AG037969,1,1,AG,270255,2
5402,R01AG037986,6,1,AG,200000,2
5413,R01AG038043,11,1,AG,332100,2
5424,R01AG038746,2,1,AG,526923,2
5426,R01AG038791,20,1,AG,623182,2
5447,R01AG039094,1,1,AG,460361,2
5449,R01AG039099,1,1,AG,308454,2
5450,R01AG039283,3,1,AG,374446,2
5453,R01AG039297,1,1,AG,247600,2
5454,R01AI072197,9,1,AI,406054,2
5463,R01AI075167,1,1,AI,266335,2
5464,R01AI076498,2,1,AI,491250,2
5466,R01AI076899,2,1,AI,355551,2
5468,R01AI077343,3,1,AI,501872,2
5473,R01AI077519,6,1,AI,340411,2
5479,R01AI077562,1,1,AI,398006,2
5480,R01AI077597,4,1,AI,383230,2
5486,R01AI078248,1,1,AI,386250,2
5487,R01AI078934,2,1,AI,108000,2
5494,R01AI079014,1,1,AI,366250,2
5495,R01AI079043,3,1,AI,474750,2
5498,R01AI079065,3,1,AI,346500,2
5503,R01AI079144,7,1,AI,370000,2
5510,R01AI080726,2,1,AI,366784,2
5512,R01AI080769,7,1,AI,335540,2
5521,R01AI080830,4,1,AI,376250,2
5525,R01AI080892,5,1,AI,386596,2
5530,R01AI080931,5,1,AI,306191,2
5541,R01AI081694,1,1,AI,376000,2
5542,R01AI081704,3,1,AI,388654,2
5548,R01AI081726,6,1,AI,642510,2
5554,R01AI081727,2,1,AI,367095,2
5557,R01AI081734,4,1,AI,442500,2
5561,R01AI081773,10,1,AI,344625,2
5571,R01AI081794,6,1,AI,412500,2
5577,R01AI081825,3,1,AI,430146,2
5580,R01AI081843,4,1,AI,388800,2
5584,R01AI081845,3,1,AI,825373,2
5587,R01AI081848,3,1,AI,422500,2
5591,R01AI081877,3,1,AI,308800,2
5594,R01AI081913,3,1,AI,394201,2
5598,R01AI081948,2,1,AI,449750,2
5600,R01AI081982,6,1,AI,701172,2
5609,R01AI081983,5,1,AI,379427,2
5614,R01AI081987,4,1,AI,284436,2
5618,R01AI082266,8,1,AI,376220,2
5626,R01AI082870,1,1,AI,303735,2
5627,R01AI083202,3,1,AI,108000,2
5630,R01AI083269,1,1,AI,367241,2
5632,R01AI083294,19,1,AI,394259,2
5652,R01AI083305,1,1,AI,300167,2
5653,R01AI083334,2,1,AI,374377,2
5655,R01AI083344,1,1,AI,344881,2
5656,R01AI083358,2,1,AI,386250,2
5659,R01AI083370,4,1,AI,280001,2
5663,R01AI083383,1,1,AI,340875,2
5665,R01AI083405,1,1,AI,390000,2
5666,R01AI083409,7,1,AI,434000,2
5673,R01AI083413,2,1,AI,613450,2
5675,R01AI083453,1,1,AI,372810,2
5676,R01AI083563,3,1,AI,613992,2
5679,R01AI083636,1,1,AI,388640,2
5680,R01AI083986,5,1,AI,390000,2
5685,R01AI083988,1,1,AI,477250,2
5686,R01AI084004,7,1,AI,584507,2
5693,R01AI084011,2,1,AI,673800,2
